code_uic;libelle;fret;voyageurs;code_ligne;rg_troncon;pk;commune;departemen;idreseau;idgaia;x_l93;y_l93;x_wgs84;y_wgs84;c_geo;geo_point_2d;geo_shape
87313494;Ham;O;O;261000;1;058+946;MUILLE-VILLETTE;SOMME;4403;298ce396-dfbc-11e3-a2ff-01a464e0362d;705118.1246000007;6960064.605099998;3.070957119074588;49.73954337157027;49.73954337157027,3.0709571190745883;49.7395433716,3.07095711907;"{""coordinates"": [3.070957119074587, 49.739543371552536], ""type"": ""Point""}"
87775221;Chamborigaud;N;O;790000;1;647+052;CHAMBORIGAUD;GARD;3576;d9cffa76-6667-11e3-89ff-01f464e0362d;778140.4658000022;6356184.454799999;3.979429869919518;44.30032167784233;44.30032167784233,3.9794298699195183;44.3003216778,3.97942986992;"{""coordinates"": [3.979429869919518, 44.30032167782084], ""type"": ""Point""}"
87113878;Allée-de-la-Tour-Rendez-Vous;N;O;958000;1;002+262;VILLEMOMBLE;SEINE-SAINT-DENIS;2847;d992450e-6667-11e3-89ff-01f464e0362d;663794.313000001;6866425.900899999;2.506173573505654;48.8968204761102;48.8968204761102,2.506173573505654;48.8968204761,2.50617357351;"{""coordinates"": [2.506173573505653, 48.89682047608833], ""type"": ""Point""}"
87345009;Douai;O;O;259000;2;223+726;DOUAI;NORD;3994;d9778118-6667-11e3-89ff-01f464e0362d;706478.0888999999;7030775.794799998;3.090940541981852;50.37461380619924;50.37461380619924,3.0909405419818516;50.3746138062,3.09094054198;"{""coordinates"": [3.090940541981851, 50.37461380618442], ""type"": ""Point""}"
87681486;Maisse;N;O;745000;1;064+301;MAISSE;ESSONNE;5324;c0ed5fee-f312-11e3-90ff-015864e0362d;655071.0689999983;6810492.4695999995;2.393061282260811;48.393174013107334;48.393174013107334,2.393061282260811;48.3931740131,2.39306128226;"{""coordinates"": [2.39306128226081, 48.39317401308286], ""type"": ""Point""}"
87276717;Bornel-Belle-Église;N;O;325000;1;045+157;BORNEL;OISE;3304;d985c662-6667-11e3-89ff-01f464e0362d;642200.4377999976;6899713.753699999;2.207101582693562;49.19454069581452;49.19454069581452,2.2071015826935616;49.1945406958,2.20710158269;"{""coordinates"": [2.20710158269356, 49.19454069579414], ""type"": ""Point""}"
87696260;Saincaize;O;O;690000;1;291+845;SAINCAIZE-MEAUCE;NIEVRE;6351;d94d4c12-6667-11e3-89ff-01f464e0362d;705449.5830999985;6647941.5326000005;3.07162716543181;46.93164731782984;46.93164731782984,3.0716271654318095;46.9316473178,3.07162716543;"{""coordinates"": [3.071627165431809, 46.9316473178158], ""type"": ""Point""}"
87686006;Paris-Gare-de-Lyon;N;O;981000;2;005+236;PARIS;PARIS;5930;c03513d2-f312-11e3-90ff-015864e0362d;654033.4729000032;6860653.519000001;2.373670362260351;48.844287565866104;48.844287565866104,2.3736703622603508;48.8442875658,2.37367036226;"{""coordinates"": [2.37367036226035, 48.84428756584397], ""type"": ""Point""}"
87393876;Noisy-le-Roi;N;O;990000;1;010+115;NOISY-LE-ROI;YVELINES;5812;29ec8314-dfbc-11e3-a2ff-01a464e0362d;631131.3372000009;6860569.444499999;2.061649080341157;48.84149086039971;48.84149086039971,2.0616490803411565;48.8414908604,2.06164908034;"{""coordinates"": [2.061649080341155, 48.84149086037756], ""type"": ""Point""}"
87381137;Asnières-sur-Seine;N;O;975000;1;004+516;ASNIERES-SUR-SEINE;HAUTS-DE-SEINE;2953;d946e1bc-6667-11e3-89ff-01f464e0362d;647171.5754000023;6867652.310600001;2.279306161012174;48.90669946030118;48.90669946030118,2.279306161012174;48.9066994603,2.27930616101;"{""coordinates"": [2.279306161012173, 48.90669946027938], ""type"": ""Point""}"
87286864;Ascq;N;O;269000;1;007+258;VILLENEUVE-D'ASCQ;NORD;2952;a27eb68e-9248-11e3-a2ff-010c64e0362d;711325.2237000018;7058339.0251;3.15976822699323;50.62195275849584;50.62195275849584,3.1597682269932297;50.6219527585,3.15976822699;"{""coordinates"": [3.159768226993229, 50.6219527584821], ""type"": ""Point""}"
